0, 0, Header, 1, 10, 480
1, 0, Start_track
1, 0, Title_t, "Klaviersonate Nr. 12 KV 332 No. 3"
1, 0, Copyright_t, "Copyright © 2006 von Bernd Krüger. "
1, 0, Text_t, "Amadeus Mozart"
1, 0, Text_t, "Herausgegeben am 1.6.2006\012"
1, 0, Text_t, "Update am 29.7.13\012"
1, 0, Text_t, "Dauer: 9:50 Minuten\012"
1, 0, Time_signature, 6, 3, 12, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 385282
1, 0, Marker_t, "Part 1"
1, 600, Tempo, 398063
1, 720, Tempo, 382824
1, 1320, Tempo, 395439
1, 1440, Tempo, 380397
1, 2040, Tempo, 395439
1, 2160, Tempo, 382824
1, 2760, Tempo, 403416
1, 2880, Tempo, 380397
1, 3120, Tempo, 395439
1, 3480, Tempo, 484927
1, 3600, Tempo, 403416
1, 3720, Tempo, 385282
1, 4200, Tempo, 406146
1, 4320, Tempo, 382824
1, 4920, Tempo, 403416
1, 5040, Tempo, 380397
1, 5640, Tempo, 458961
1, 5760, Tempo, 385282
1, 6360, Tempo, 414565
1, 6480, Tempo, 382824
1, 7080, Tempo, 464828
1, 7200, Tempo, 382824
1, 7800, Tempo, 414565
1, 7920, Tempo, 420374
1, 8640, Tempo, 385282
1, 9240, Tempo, 398063
1, 9360, Tempo, 382824
1, 9960, Tempo, 395439
1, 10080, Tempo, 380397
1, 10680, Tempo, 395439
1, 10800, Tempo, 382824
1, 11400, Tempo, 403416
1, 11520, Tempo, 380397
1, 11760, Tempo, 395439
1, 12120, Tempo, 484927
1, 12240, Tempo, 400721
1, 12360, Tempo, 382824
1, 12840, Tempo, 406146
1, 12960, Tempo, 382824
1, 13560, Tempo, 403416
1, 13680, Tempo, 380397
1, 14280, Tempo, 458961
1, 14400, Tempo, 385282
1, 15000, Tempo, 414565
1, 15120, Tempo, 382824
1, 15720, Tempo, 411720
1, 15840, Tempo, 479693
1, 16080, Tempo, 428327
1, 16440, Tempo, 462499
1, 16560, Tempo, 472144
1, 16800, Tempo, 434531
1, 17160, Tempo, 473447
1, 17280, Tempo, 472144
1, 17520, Tempo, 437701
1, 18000, Tempo, 398063
1, 19200, Tempo, 448665
1, 19440, Tempo, 398063
1, 20040, Tempo, 435635
1, 20160, Tempo, 398063
1, 21480, Tempo, 432495
1, 21600, Tempo, 398063
1, 22920, Tempo, 442054
1, 23040, Tempo, 398063
1, 24360, Tempo, 469741
1, 24480, Tempo, 398063
1, 25860, Tempo, 435635
1, 25920, Tempo, 398063
